Newtral,18571,1
AlRiyadh,18478,1
PostToday,18405,1
roznamadunya,18242,1
livemint,18100,1
Telemundo,17851,1
MediasetTgcom24,17849,1
SkyTG24,17555,1
ListinDiario,17487,1
prabhatkhabar,17427,1
ISSSTE_mx,17358,1
revistavistazo,17297,1
suvarnanewstv,16942,1
bernamadotcom,16752,1
MinSoliSante,16688,1
Central_Railway,16635,1
thenews_intl,16612,1
AlBayanNews,16593,1
NewsNationTV,16442,1
Europe1,16426,1
20fourMedia,16382,1
TW_nextmedia,16310,1
ndtvfeed,16216,1
ElUniversal,16164,1
ZDFheute,16128,1
TOLOnews,15937,1
okaz_brk,15763,1
zeitonline,15438,1
LesEchos,15403,1
heraldodemexico,15368,1
PDChina,15283,1
scroll_in,15154,1
SCMPNews,15045,1
Nawaiwaqt_,15008,1
BT_India,14981,1
cronica,14899,1
ImagenTVMex,14812,1
LCI,14376,1
SIN24Horas,14149,1
CDN37,14128,1
lobs,14042,1
ajplus,14015,1
TVPatrol,13900,1
AlArabiya_Eng,13847,1
maalaimalar,13767,1
tvnnoticias,13498,1
Le360fr,13442,1
CitImmCanada,13390,1
EJanNews,13364,1
aletihadae,13333,1
RaiNews,13201,1
Reporte_Indigo,13145,1
Notimex,13021,1
otempo,12986,1
TReporta,12889,1
Agencia_Andina,12791,1
noticierovv,12610,1
vaticannews_es,12474,1
bbcnewsmarathi,12467,1
DelhiTimesTweet,12425,1
faznet,12346,1
senego,12340,1
AIRNewsHindi,12287,1
Ei_Samay,12189,1
GHS,12105,1
NewIndianXpress,11975,1
euronews,11891,1
TNAMCOT,11703,1
PublimetroChile,11699,1
azucenau,11567,1
TgLa7,11501,1
218Tv,11448,1
UN_News_Centre,11263,1
_ElFaro_,11067,1
TUDNMEX,11066,1
Adnkronos,10986,1
Echinanews,10867,1
asianetnewstv,10794,1
prajavani,10708,1
Tuko_co_ke,10672,1
manoramanews,10663,1
RedMasNoticias,10636,1
elespanolcom,10604,1
LaRazon_Bolivia,10597,1
Vijaykarnataka,10491,1
TOIAhmedabad,10439,1
sebrae,10398,1
Newsweek_JAPAN,10394,1
BusinessDayNg,10358,1
elnuevodiariord,10270,1
tass_agency,10237,1
Thansettakij,10149,1
aciprensa,9932,1
NAR,9887,1
Kom_chad_luek,9660,1
thetribunechd,9659,1
Daily_Express,9577,1
LegaSalvini,9559,1
sopitas,9406,1
kapookdotcom,9249,1
NewsStateHindi,9232,1
ArianaNews_,9199,1
AmerMedicalAssn,9199,1
Terra,9170,1
ONUinfo,9162,1
Laurie_Garrett,9025,1
PBNS_India,8988,1
fanpage,8974,1
ThaiPBSNews,8776,1
prensacom,8721,1
elnuevoherald,8562,1
gercekgundem,8545,1
EurasiaGroup,8533,1
voz_populi,8425,1
gulftoday,8348,1
HCHTelevDigital,8333,1
SenadoGovCo,8251,1
PIBMumbai,8010,1
WRADIOMexico,7927,1
DDNewsGujarati,7925,1
JagbaniOnline,7922,1
_infoLibre,7904,1
antaranews,7847,1
rtl1025,7736,1
firstpost,7728,1
AustinKellerman,7686,1
em_com,7684,1
rameshlaus,7679,1
RadioCanadaInfo,7674,1
La7tv,7606,1
sfchronicle,7534,1
RedeTV,7512,1
100noticiasni,7487,1
SteveFDA,7473,1
